,Name,Composer,Name
0,First Time I Met The Blues,Eurreal Montgomery,Blues
1,Let Me Love You Baby,Willie Dixon,Blues
2,Stone Crazy,Buddy Guy,Blues
3,Pretty Baby,Willie Dixon,Blues
4,When My Left Eye Jumps,Al Perkins/Willie Dixon,Blues
5,Leave My Girl Alone,Buddy Guy,Blues
6,She Suits Me To A Tee,Buddy Guy,Blues
7,Keep It To Myself (Aka Keep It To Yourself),Sonny Boy Williamson [I],Blues
8,My Time After Awhile,Robert Geddins/Ron Badger/Sheldon Feinberg,Blues
9,Too Many Ways (Alternate),Willie Dixon,Blues
10,Talkin' 'Bout Women Obviously,Amos Blakemore/Buddy Guy,Blues
11,Layla,Clapton/Gordon,Blues
12,Badge,Clapton/Harrison,Blues
13,I Feel Free,Bruce/Clapton,Blues
14,Sunshine Of Your Love,Bruce/Clapton,Blues
15,Crossroads,Clapton/Robert Johnson Arr: Eric Clapton,Blues
16,Strange Brew,Clapton/Collins/Pappalardi,Blues
17,White Room,Bruce/Clapton,Blues
18,Bell Bottom Blues,Clapton,Blues
19,Cocaine,Cale/Clapton,Blues
20,I Shot The Sheriff,Marley,Blues
21,After Midnight,Clapton/J. J. Cale,Blues
22,Swing Low Sweet Chariot,Clapton/Trad. Arr. Clapton,Blues
23,Lay Down Sally,Clapton/Levy,Blues
24,Knockin On Heavens Door,Clapton/Dylan,Blues
25,Wonderful Tonight,Clapton,Blues
26,Let It Grow,Clapton,Blues
27,Promises,Clapton/F.eldman/Linn,Blues
28,I Can't Stand It,Clapton,Blues
29,Signe,Eric Clapton,Blues
30,Before You Accuse Me,Eugene McDaniel,Blues
31,Hey Hey,Big Bill Broonzy,Blues
32,Tears In Heaven,"Eric Clapton, Will Jennings",Blues
33,Lonely Stranger,Eric Clapton,Blues
34,Nobody Knows You When You're Down & Out,Jimmy Cox,Blues
35,Layla,"Eric Clapton, Jim Gordon",Blues
36,Running On Faith,Jerry Lynn Williams,Blues
37,Walkin' Blues,Robert Johnson,Blues
38,Alberta,Traditional,Blues
39,San Francisco Bay Blues,Jesse Fuller,Blues
40,Malted Milk,Robert Johnson,Blues
41,Old Love,"Eric Clapton, Robert Cray",Blues
42,Rollin' And Tumblin',McKinley Morgenfield (Muddy Waters),Blues
43,01 - Prowler,Steve Harris,Blues
44,02 - Sanctuary,David Murray/Paul Di'Anno/Steve Harris,Blues
45,03 - Remember Tomorrow,Harris/Paul Di´Anno,Blues
46,04 - Running Free,Harris/Paul Di´Anno,Blues
47,05 - Phantom of the Opera,Steve Harris,Blues
48,06 - Transylvania,Steve Harris,Blues
49,07 - Strange World,Steve Harris,Blues
50,08 - Charlotte the Harlot,Murray  Dave,Blues
51,09 - Iron Maiden,Steve Harris,Blues
52,The House Is Rockin',Doyle Bramhall/Stevie Ray Vaughan,Blues
53,Crossfire,B. Carter/C. Layton/R. Ellsworth/R. Wynans/T. Shannon,Blues
54,Tightrope,Doyle Bramhall/Stevie Ray Vaughan,Blues
55,Let Me Love You Baby,Willie Dixon,Blues
56,Leave My Girl Alone,B. Guy,Blues
57,Travis Walk,Stevie Ray Vaughan,Blues
58,Wall Of Denial,Doyle Bramhall/Stevie Ray Vaughan,Blues
59,Scratch-N-Sniff,Doyle Bramhall/Stevie Ray Vaughan,Blues
60,Love Me Darlin',C. Burnett,Blues
61,Riviera Paradise,Stevie Ray Vaughan,Blues
62,Midnight From The Inside Out,Chris Robinson/Rich Robinson,Blues
63,Sting Me,Chris Robinson/Rich Robinson,Blues
64,Thick & Thin,Chris Robinson/Rich Robinson,Blues
65,Greasy Grass River,Chris Robinson/Rich Robinson,Blues
66,Sometimes Salvation,Chris Robinson/Rich Robinson,Blues
67,Cursed Diamonds,Chris Robinson/Rich Robinson,Blues
68,Miracle To Me,Chris Robinson/Rich Robinson,Blues
69,Wiser Time,Chris Robinson/Rich Robinson,Blues
70,Girl From A Pawnshop,Chris Robinson/Rich Robinson,Blues
71,Cosmic Fiend,Chris Robinson/Rich Robinson,Blues
72,Black Moon Creeping,Chris Robinson/Rich Robinson,Blues
73,High Head Blues,Chris Robinson/Rich Robinson,Blues
74,Title Song,Chris Robinson/Rich Robinson,Blues
75,She Talks To Angels,Chris Robinson/Rich Robinson,Blues
76,Twice As Hard,Chris Robinson/Rich Robinson,Blues
77,Lickin',Chris Robinson/Rich Robinson,Blues
78,Soul Singing,Chris Robinson/Rich Robinson,Blues
79,Hard To Handle,A.Isbell/A.Jones/O.Redding,Blues
80,Remedy,Chris Robinson/Rich Robinson,Blues
81,Samba Da Bênção,,Bossa Nova
82,Pot-Pourri N.º 4,,Bossa Nova
83,Onde Anda Você,,Bossa Nova
84,Samba Da Volta,,Bossa Nova
85,Canto De Ossanha,,Bossa Nova
86,Pot-Pourri N.º 5,,Bossa Nova
87,Formosa,,Bossa Nova
88,Como É Duro Trabalhar,,Bossa Nova
89,Minha Namorada,,Bossa Nova
90,Por Que Será,,Bossa Nova
91,Berimbau,,Bossa Nova
92,Deixa,,Bossa Nova
93,Pot-Pourri N.º 2,,Bossa Nova
94,Samba Em Prelúdio,,Bossa Nova
95,Carta Ao Tom 74,,Bossa Nova
