,id,adult,budget,genres,original_language,original_title,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,vote_average,vote_count,video,title,belongs_to_collection,overview,homepage,imdb_id,poster_path,crew,cast,keywords
0,1090803,False,0,[],en,Broken Angel,0.0,[],[],,0,0,[],Released,,0.0,0,False,Broken Angel,,,,tt21234230,,[],[],[]
1,1090787,False,0,[],en,Down River,0.0,[],[],,0,0,[],Released,,0.0,0,False,Down River,,,,,,[],[],[]
2,1090778,False,0,[],en,The Animated Iliad,0.0,[],[],,0,76,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Don't Wake Up For A While.,0.0,0,False,The Animated Iliad,,"A musical adaptation of the epic poem by Homer, with 24 original songs, one for each of the 24 books of the poem.",,tt26427751,,[],[],[]
3,1090598,False,0,"[{'id': 99, 'name': 'Documentary'}]",es,Surfing with Socialism,0.0,"[{'id': 194170, 'logo_path': None, 'name': ""Crazy Stacey's Surf Films"", 'origin_country': ''}]","[{'iso_3166_1': 'CR', 'name': 'Costa Rica'}]",2022-01-01,0,21,"[{'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}]",Released,,0.0,0,False,Surfing with Socialism,,"A politically twisted surfing/travelogue documentary on Costa Rica. A funny, satirically-spinning doc, with great footage of surfers in the wash. A historical account about a guy reflecting on his time in socialistic Costa Rica.",,,/z9hni6v7zmigRlZUfO8zcGMBGEM.jpg,"[{'adult': False, 'gender': 1, 'id': 3156303, 'known_for_department': 'Production', 'name': 'Stacey Thomas', 'original_name': 'Stacey Thomas', 'popularity': 0.6, 'profile_path': None, 'credit_id': '63f7593bd1ca2a00b27a470a', 'department': 'Directing', 'job': 'Director'}, {'adult': False, 'gender': 1, 'id': 3156303, 'known_for_department': 'Production', 'name': 'Stacey Thomas', 'original_name': 'Stacey Thomas', 'popularity': 0.6, 'profile_path': None, 'credit_id': '63f7594268b1ea0079cbe49f', 'department': 'Writing', 'job': 'Writer'}]",[],[]
4,1090494,False,0,[],en,Sorrow had a baby,0.0,[],"[{'iso_3166_1': 'IE', 'name': 'Ireland'}]",2022-01-01,0,18,[],Released,,0.0,0,False,Sorrow had a baby,,"‘I absorbed the women in my life as I would chloroform on a cloth laid against my face.’ (Vivian Gornick). Sorrow had a baby explores the mother-daughter relationship through multiple lenses: memory, beauty, and inheritance. Jumping between home movies, TV shows, and raw intimate documentary footage the short film asks: Who writes the stories in a family? Who can change them?",,,,"[{'adult': False, 'gender': 1, 'id': 2370030, 'known_for_department': 'Directing', 'name': 'Myrid Carten', 'original_name': 'Myrid Carten', 'popularity': 0.6, 'profile_path': None, 'credit_id': '63f6f6c546f354007cf94ea0', 'department': 'Directing', 'job': 'Director'}]",[],[]
5,1090483,False,0,[],en,Is it a knife because…,0.0,[],"[{'iso_3166_1': 'BE', 'name': 'Belgium'}]",2022-01-01,0,25,[],Released,,0.0,0,False,Is it a knife because…,,"A film made at home; an uncompromising look at ways in which parenthood and the process of filmmaking crush into each other. Through a collection of family videos, the film challenges the dynamics of agency that children and grown-ups have over their images. Different forms of entangled love and violence are rendered visible and audible within the household setting in an honest attempt to understand where light comes from — and all the while, the police are outside the window.",,,,"[{'adult': False, 'gender': 0, 'id': 2230422, 'known_for_department': 'Directing', 'name': 'Sirah Foighel Brutmann', 'original_name': 'Sirah Foighel Brutmann', 'popularity': 0.6, 'profile_path': None, 'credit_id': '63f6efa446f354007cf94ae1', 'department': 'Directing', 'job': 'Director'}, {'adult': False, 'gender': 0, 'id': 2230423, 'known_for_department': 'Directing', 'name': 'Eitan Efrat', 'original_name': 'Eitan Efrat', 'popularity': 0.6, 'profile_path': None, 'credit_id': '63f6ef9368b1ea0079cbbd54', 'department': 'Directing', 'job': 'Director'}]",[],[]
6,1090479,False,0,[],en,False Wife,0.0,[],"[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",2022-01-01,0,16,[],Released,,0.0,0,False,False Wife,,"False Wife is a work that leads its visitors through an ordeal of transformation. A poppers training video is typically a user-made compilation of pornographic clips paired with text, hypnotic music, voice-overs and instructions for action. False Wife is a poppers training video, but its material is ambiguous and obscure. Its narrative, drawn from a variety of folk tales in which transformation occurs, reflects on themes of desire, shame, transgression and the longing for change.",,,,"[{'adult': False, 'gender': 0, 'id': 2174709, 'known_for_department': 'Directing', 'name': 'Jamie Crewe', 'original_name': 'Jamie Crewe', 'popularity': 0.6, 'profile_path': None, 'credit_id': '63f6ec4ed1ca2a0079a0b995', 'department': 'Directing', 'job': 'Director'}]",[],[]
7,1090331,False,0,"[{'id': 16, 'name': 'Animation'}]",en,Text Me When You’re Home,0.6,[],[],2022-01-01,0,3,[],Released,,0.0,0,False,Text Me When You’re Home,,"After being harassed on public transport one evening, a young woman must make her way home on her own.",,,,"[{'adult': False, 'gender': 0, 'id': 3934194, 'known_for_department': 'Directing', 'name': 'Joanna Lang', 'original_name': 'Joanna Lang', 'popularity': 0.6, 'profile_path': None, 'credit_id': '63f676403d745400b2886df2', 'department': 'Directing', 'job': 'Director'}, {'adult': False, 'gender': 0, 'id': 3934194, 'known_for_department': 'Directing', 'name': 'Joanna Lang', 'original_name': 'Joanna Lang', 'popularity': 0.6, 'profile_path': None, 'credit_id': '63f67661d1ca2a0086ffa8aa', 'department': 'Writing', 'job': 'Writer'}, {'adult': False, 'gender': 0, 'id': 3934195, 'known_for_department': 'Directing', 'name': 'Nora Dahlheim', 'original_name': 'Nora Dahlheim', 'popularity': 0.6, 'profile_path': None, 'credit_id': '63f67648d1ca2a00f0091cd0', 'department': 'Directing', 'job': 'Director'}]",[],[]
8,1090324,False,25000,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]",en,Cinderella: Ruby's Storytime,0.6,"[{'id': 194108, 'logo_path': None, 'name': 'Family Roberto Productions', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2022-01-01,0,20,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Cinderella short animated full story video.,0.0,0,False,Cinderella: Ruby's Storytime,,"A family favorite story for young and old alike. The fairy godmother visits the young girl, and suddenly, her life begins to change. A night of fantasy, magic, and love. “Dream once; that’s enough to start your journey.”",,,/tpmCVz7FvAbErmUY7hIEi5MTnXR.jpg,"[{'adult': False, 'gender': 0, 'id': 2448433, 'known_for_department': 'Acting', 'name': 'Levente Szabo', 'original_name': 'Levente Szabo', 'popularity': 0.6, 'profile_path': None, 'credit_id': '63f6706269c70f0086fef5ae', 'department': 'Production', 'job': 'Producer'}, {'adult': False, 'gender': 0, 'id': 2448433, 'known_for_department': 'Acting', 'name': 'Levente Szabo', 'original_name': 'Levente Szabo', 'popularity': 0.6, 'profile_path': None, 'credit_id': '63f6706f3d7454008efcd0b7', 'department': 'Crew', 'job': 'Creator'}, {'adult': False, 'gender': 0, 'id': 3111199, 'known_for_department': 'Directing', 'name': 'Vince Rundus', 'original_name': 'Vince Rundus', 'popularity': 0.6, 'profile_path': None, 'credit_id': '63f670b169c70f0082217ccb', 'department': 'Directing', 'job': 'Director'}, {'adult': False, 'gender': 0, 'id': 3934165, 'known_for_department': 'Acting', 'name': 'Jena Rundus', 'original_name': 'Jena Rundus', 'popularity': 0.6, 'profile_path': None, 'credit_id': '63f670c268b1ea0082f5a4cb', 'department': 'Writing', 'job': 'Writer'}, {'adult': False, 'gender': 0, 'id': 3934167, 'known_for_department': 'Production', 'name': 'Sandra Szabo', 'original_name': 'Sandra Szabo', 'popularity': 0.6, 'profile_path': None, 'credit_id': '63f67053d1ca2a00b279d56f', 'department': 'Production', 'job': 'Producer'}, {'adult': False, 'gender': 0, 'id': 3934167, 'known_for_department': 'Production', 'name': 'Sandra Szabo', 'original_name': 'Sandra Szabo', 'popularity': 0.6, 'profile_path': None, 'credit_id': '63f670785a7884008995d688', 'department': 'Crew', 'job': 'Creator'}]","[{'adult': False, 'gender': 0, 'id': 3934165, 'known_for_department': 'Acting', 'name': 'Jena Rundus', 'original_name': 'Jena Rundus', 'popularity': 0.6, 'profile_path': None, 'cast_id': 1, 'character': 'Ruby', 'credit_id': '63f670355a788400814e8597', 'order': 0}, {'adult': False, 'gender': 0, 'id': 2830150, 'known_for_department': 'Acting', 'name': 'Reagan Rundus', 'original_name': 'Reagan Rundus', 'popularity': 0.84, 'profile_path': None, 'cast_id': 2, 'character': 'Cinderella', 'credit_id': '63f670411f3319007c8be825', 'order': 1}]",[]
9,1090119,False,10000,"[{'id': 16, 'name': 'Animation'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 18, 'name': 'Drama'}]",de,Solitary,0.6,[],[],2022-01-01,0,62,"[{'english_name': 'German', 'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,How FAR would u go to save your Planet. Would u give UP,0.0,0,False,Solitary,,"A journey to colonize an exoplanet in order to save humanity. Due to technical problems, a crew member was thrown into space. Now it's up to him can he complete the mission or if will he get lost in space?",,tt26747321,/2ntZTs8ghCISFpTYA7hxo2MwLQ3.jpg,"[{'adult': False, 'gender': 0, 'id': 3923950, 'known_for_department': 'Production', 'name': 'Egan T Guenthers', 'original_name': 'Egan T Guenthers', 'popularity': 0.6, 'profile_path': None, 'credit_id': '63f5f7d725b95500dd941d51', 'department': 'Directing', 'job': 'Director'}, {'adult': False, 'gender': 0, 'id': 3923950, 'known_for_department': 'Production', 'name': 'Egan T Guenthers', 'original_name': 'Egan T Guenthers', 'popularity': 0.6, 'profile_path': None, 'credit_id': '63f5f7e5fc31d3008128f669', 'department': 'Writing', 'job': 'Writer'}]","[{'adult': False, 'gender': 2, 'id': 1026022, 'known_for_department': 'Acting', 'name': 'Tobias Meister', 'original_name': 'Tobias Meister', 'popularity': 0.84, 'profile_path': '/vugxtc2dZvdoINWWsFEQti7sibN.jpg', 'cast_id': 1, 'character': 'Logan Carter', 'credit_id': '63f5f792992fe60081186c79', 'order': 0}, {'adult': False, 'gender': 1, 'id': 1158278, 'known_for_department': 'Acting', 'name': 'Antje von der Ahe', 'original_name': 'Antje von der Ahe', 'popularity': 0.6, 'profile_path': None, 'cast_id': 2, 'character': 'A.I.N.A', 'credit_id': '63f5f7a0fc31d3008128f658', 'order': 1}, {'adult': False, 'gender': 0, 'id': 3933648, 'known_for_department': 'Acting', 'name': 'Ushi Hugo', 'original_name': 'Ushi Hugo', 'popularity': 0.6, 'profile_path': None, 'cast_id': 3, 'character': 'Madison Hall', 'credit_id': '63f5f7b48c22c00084e748b7', 'order': 2}, {'adult': False, 'gender': 2, 'id': 1530902, 'known_for_department': 'Acting', 'name': 'Hanns Jörg Krumpholz', 'original_name': 'Hanns Jörg Krumpholz', 'popularity': 1.094, 'profile_path': '/vLvhKyP8Nh9hlP3CSp3Jq067xJ8.jpg', 'cast_id': 4, 'character': 'Howard Mercer', 'credit_id': '63f5f7c3992fe60081186c85', 'order': 3}]",[]
