short_name,value_eur
H. Kane,83000000
R. Lewandowski,64500000
S. Agüero,60000000
L. Suárez,53000000
E. Cavani,47000000
A. Lacazette,46000000
C. Immobile,44500000
A. Martial,34500000
Borja Iglesias,32500000
Paco Alcácer,32000000
S. Haller,32000000
A. Belotti,30000000
D. Tadić,29500000
Louri Beretta,27500000
K. Volland,26500000
Willian José,26000000
L. de Jong,23000000
J. Martínez,22500000
M. Arnautović,21500000
W. Weghorst,21000000
M. Dembélé,20000000
M. Mandžukić,19500000
E. Džeko,19500000
A. Rebić,19000000
C. Wilson,17500000
J. Vardy,17500000
Wesley,17500000
M. Samatta,15500000
F. Smolov,15000000
Leo Baptistao,15000000
Z. Ibrahimović,14000000
A. Mitrović,13500000
A. Hamdallah,13000000
W. Khazri,13000000
S. Rondón,12500000
D. Benedetto,12500000
Elkeson,12500000
G. Simeone,12500000
D. Calvert-Lewin,12500000
T. Abraham,12000000
F. Chalov,12000000
D. Malen,12000000
M. Diagne,12000000
B. Fernández,12000000
Luimo Boas Santos,11500000
A. Morelos,10500000
S. García,10500000
V. Osimhen,10000000
A. Finnbogason,10000000
C. Stuani,10000000
Luiz Phellype,9500000
A. Gignac,9500000
G. Cano,9500000
W. Rooney,9500000
F. Quagliarella,9500000
E. Ávila,9000000
G. Bou,9000000
T. Pukki,9000000
R. Funes Mori,9000000
Borja Bastón,8500000
G. Burgstaller,8500000
Sergio León,8500000
Alan Kardec,8500000
G. Sio,8500000
Júnior Moraes,8500000
N. Jørgensen,8000000
B. Petković,8000000
Aduriz,8000000
Fran Sol,8000000
B. Yılmaz,8000000
A. Schürrle,8000000
R. Ruidíaz,8000000
R. Martínez,7500000
O. Watkins,7500000
J. Altidore,7500000
D. Saba,7000000
Dênildo Stein,7000000
Y. Kobayashi,7000000
A. Prijović,6500000
F. Jara,6500000
D. Mbokani,6500000
A. Chávez,6000000
L. Griffiths,6000000
J. Martínez,6000000
F. Caputo,6000000
Erick Gameira,6000000
Hélton Celanova,6000000
O. Toivonen,6000000
L. Hinterseer,6000000
A. Sørloth,5500000
G. Pellè,5500000
S. Romero,5500000
M. Caraglio,5500000
M. Diop,5000000
J. Agudelo,5000000
D. Kreilach,5000000
R. Hennings,5000000
M. van Buren,4900000
J. Briand,4800000
L. Rodríguez,4700000
V. Ibišević,4700000
F. González,4500000
Nélson Oliveira,4300000
H. Rodallega,4200000
P. Bamford,4100000
Kim Seung Dae,4100000
T. Gutiérrez,4100000
A. Ujah,4100000
Soldado,4100000
G. Murray,4100000
Guerrero,4100000
S. Di Carmine,3900000
R. Rodelin,3900000
R. Ripart,3700000
K. Wilczek,3600000
N. Nikolić,3600000
P. Cissé,3500000
Walter Silvieiro,3300000
M. Pérez,3200000
A. Jóhannsson,3200000
M. Le Bihan,3100000
K. Kamara,3000000
I. Tandia,3000000
F. Malbašić,3000000
L. Jutkiewicz,3000000
E. Derdiyok,2800000
L. Thy,2800000
R. Palacio,2800000
J. Sand,2800000
I. Mboyo,2500000
S. Okazaki,2400000
M. Waghorn,2400000
D. Ba,2100000
Kim Shin Wook,2100000
H. Barcos,1800000
Angulo,1800000
A. Koné,1800000
E. Paredes,1400000
Rubén Castro,1400000
M. Urruti,1100000
S. Silva,850000
Nino,525000
D. Moscardelli,525000
